description,review_majority,food_aspect_majority,ambiance_aspect_majority,service_aspect_majority,noise_aspect_majority,cleanliness,price,location,menu variety,waiting time,waiting area,parking,wi-fi,kids-friendly
"Chicken dish was very salty. Pasta entrees were good, not great. Veal Limone had too much lemon, but the veal was tender. Server was very nice and attentive.",2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Everything was so nice but the drink prices are ridiculously high.,4,Positive,no majority,unknown,unknown,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Horrible as always! My least favorite lunch spot!!,1,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The sushi left much to be desired. It seems as if the quality is inconsistent because I was told that it was better just the week before. The miso soup was different and a welcome surprise.,3,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Frankly, I was disappointed in the food. My friend was also disappointed. We were there for lunch. The atmosphere was very tense and oppressive.",1,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"This is really a tourist attraction, more than a restaurant. The view is obviously why you would go. Service was great, drinks too.",4,unknown,Positive,Positive,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown
"Decent, average, over rated, and an out of place wine list. It was very noisy.  Prediction: they want last, unless they improve the food and/or service.",2,Negative,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"I went there with a gift card (thank god). The service wasn't very nice and there wasn't much variety when it came to the food. For the prices that were there, it was definitely NOT worth it.",1,Negative,unknown,Negative,unknown,unknown,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"this place attempts to be steeped in charm, but the result is over the top, feeling more like a barn than a french chateau. The food is overcooked, heavy and not worth a return trip. The only thing I was happy with was how quiet it was.",no majority,Negative,Negative,unknown,Positive,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"Very disappointing restaurant. Food was mediocre, at best. Service was good but that did not make up for the disappointing food. We will definitely not return.",2,Negative,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Our meal was not very good. I am sad over the marinated octopus. Yuck! Another downside is that the dessert menu didn't really entice me, but overall very mediocre experience.",2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Service seems to have gone down hill since our last visit. The tiramasu was still outstanding the rest of the food was nothing special and my favorite antipasto platter was no longer available. Too bad !,3,Negative,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Very disappointing but they had many items,2,no majority,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Jiraffe is exceedingly better.,no majority,unknown,unknown,unknown,unknown,Positive,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
The waitress was inattentive but the bus staff was quick to remove plates.,no majority,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"One our favorite spots in D.C. The food is fresh and delicious, the service is friendly",5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"so noisy, conversation difficult. Service slow-never brought second glass of wine ordered. Coffee so weak, it looked like tea. used to be much better",no majority,unknown,Negative,Negative,Negative,unknown,unknown,unknown,unknown,Negative,Negative,unknown,unknown,unknown
We had easter brunch... it was really a bad buffet. Our waitress made up for the horrid food with her cheery attitude.,3,Negative,unknown,Positive,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
This is an excellent restaurant. Wonderful and helpful waiter and delicious food. Just what everyone wants in a dining experience.,5,Positive,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Huge disappointment.  Pizzas are overrated, but at least it isn't too loud or too quiet.",2,Negative,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Very Overrated! $18 Martini's, $16 Belini's. The Squid was very tough. My wife had dinner. My daughter is a Vegan so she only had veggies. I had two starters only!.
At least the ambiance was good.
The bill was $460! Stat away!",2,Negative,Positive,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
food & wine menu are very limited. they didn't have lobster bisque (which is on menu). Portions are small. tables are very close together. prices are high. Nice ambiance.,2,Negative,Positive,unknown,unknown,unknown,Negative,unknown,Negative,unknown,unknown,unknown,unknown,unknown
"We were given a table right outside of kitchen. We could hear everything that was going on in kitchen-loud dishes clanging, people yelling and normal kitchen noise. It ruined our experience.",2,unknown,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"Their Valentine's Day Prix fixe conference call was waay over priced for the quality of food. We were disappointed in the wine list,to.",2,Negative,unknown,unknown,no majority,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Beautiful dining room and impressive food.,5,Positive,Positive,unknown,unknown,unknown,unknown,Positive,Positive,unknown,unknown,unknown,unknown,unknown
"I was looking forward to taste galettes, but they didn't taste anything like the ones I ate in Paris. The dining area was way too noisy.",2,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The formerly lovely restaurant has been chopped in two, making Garibaldi's a dark, extremely loud hallway where one cannot hear any part of the table conversation. What a shame.",2,unknown,Negative,unknown,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
"Do you mean...other then the fact that we noticed a waiter picking
his nose in front of us!!!!!!!!!!!!! It was also very noisy.",1,unknown,unknown,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"While enjoying the ambience wefiund the portions ridiculously large.
We were so stuffed after eating an appetizer, a salad and an entree. 
The food was fantastic to be clear.",5,Positive,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown
We had a delightful time. The food wasn't interesting and the wine delicious. The waiter was very professional and attentive. Thoroughly enjoyed the experience though.,4,no majority,unknown,Positive,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
We went for lunch before the theater. The server was rude and very disinteredyed. The food was great. Best part of the meal was the Napolean for dessert.,3,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"not good, never good, service nonexistent, food only passable i liked the atmosphere though",no majority,Negative,Positive,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Definitely as good as always, including food, service, and atmosphere (and we sat in the front part of the restaurant, which is the least attractive part).",no majority,Positive,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"they sat us down, we asked for a wine list and 20 minutes later I went and got he bar tender who took care of us. he was a nice man and it was good to moderate sevice after that...",no majority,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown
"appetizers were good, main courses were not a disappointment and the chocolate pudding/dessert....oh, it's a loooong way to Tipperary and even longer to PERRY STREET.",no majority,Positive,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
"Except for the family happy to be together, the restaurant service was lackluster and dull :( but the food tasted very good.",no majority,Positive,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"It was OK. The food was good. I'd say just go a bit further south down Michigan and dine at Park Grill. Much better decor, service and food selection.",3,Positive,Negative,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"my food was really boring bland and the room was very loud. good wine, good bread.",2,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
The waiters seems to be friendly except for ours.,2,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Over Salted, Over Sauced, Over Rated...Don't bother, even though it is quiet.",no majority,Negative,unknown,unknown,Positive,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown
If you are looking for a pre-theater Lincoln Center place to eat - this isn't it. Only decent food I had was the salad.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"Food undercooked, they do it. I had to shout across the table due to noise level.",no majority,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
Bad. The server misinformed us that we *had* to order from the prix fixe menu and it was so loud.,2,unknown,unknown,Negative,Negative,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown
Circo's is a restaurant where we have often dined. We had the prix fixe dinner which was a real disappointment. Portions were tiny compared to their usual dinners. I would not do this again.,no majority,Negative,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
For the price not very good. Much better restaurants for the price.,no majority,unknown,unknown,unknown,unknown,unknown,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown
"The best restaurant in Boulder, if not Colorado. Very creative daily new menu. Incredible flavors. However, the breadsticks were horrible. Highly recommended still.",no majority,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Positive,unknown,unknown,unknown,unknown,unknown
Went here during restaurant week and was very disappointed in everything except dessert.,2,Negative,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown
